year,quarter,Count,Total_Sales,Mean_Amount,Median_Amount,Std_Amount,Min_Amount,Max_Amount,year_quarter
2009,1,2221,1275799.0,574.43,600.0,169.63,200.0,1000.0,2009-Q1
2009,2,6987,5081241.0,727.24,700.0,289.38,180.0,2500.0,2009-Q2
2009,3,9588,6464408.0,674.22,650.0,252.05,150.0,2500.0,2009-Q3
2009,4,9065,6372633.0,702.99,700.0,313.05,180.0,2500.0,2009-Q4
2010,1,13755,12576690.01,914.34,800.0,482.45,0.01,5000.0,2010-Q1
2010,2,20167,22974582.0,1139.22,1000.0,565.35,150.0,3750.0,2010-Q2
2010,3,19195,26439661.0,1377.42,1250.0,678.25,200.0,6250.0,2010-Q3
2010,4,21363,31523323.01,1475.6,1300.0,806.2,0.01,14923.0,2010-Q4
2011,1,21094,30122082.0,1427.99,1200.0,823.62,200.0,5000.0,2011-Q1
2011,2,32707,49075758.03,1500.47,1250.0,798.0,0.01,6250.0,2011-Q2
2011,3,34358,54391293.03,1583.08,1400.0,799.07,0.01,8154.0,2011-Q3
2011,4,34377,60265310.83,1753.07,1510.0,907.57,0.01,10000.0,2011-Q4
2012,1,28124,50689655.12,1802.36,1600.0,922.93,0.01,10000.0,2012-Q1
2012,2,38336,72829279.03,1899.76,1850.0,976.48,0.01,15000.0,2012-Q2
2012,3,41138,72989825.02,1774.27,1613.0,1083.57,0.0,16000.0,2012-Q3
2012,4,47021,80555988.09,1713.19,1500.0,1176.47,0.01,15000.0,2012-Q4
2013,1,46083,83375299.11,1809.24,1500.0,1231.24,0.01,12900.0,2013-Q1
2013,2,49518,96705108.85,1952.93,1800.0,1256.33,0.01,13250.0,2013-Q2
2013,3,43789,83399649.88,1904.58,1600.0,1229.99,0.0,16000.0,2013-Q3
2013,4,50060,97485552.68,1947.37,1650.0,1233.52,0.01,10000.0,2013-Q4
2014,1,25659,60288135.3,2349.59,2000.0,1465.06,0.01,10000.0,2014-Q1
2014,2,26238,64716089.06,2466.5,2100.0,1552.48,0.01,20000.0,2014-Q2
2014,3,26743,74421741.75,2782.85,2472.0,1889.51,250.0,24095.0,2014-Q3
2014,4,21615,59002909.08,2729.72,2200.0,1894.14,250.0,25500.0,2014-Q4
