Year,Quarter,Loan_Count,Total_Sales,Avg_Loan,Std_Loan,Min_Loan,Max_Loan,Date,Time_Index,Year_Quarter,Sales_Lag_1,Count_Lag_1,Sales_Lag_2,Count_Lag_2,Sales_Lag_3,Count_Lag_3,Sales_Lag_4,Count_Lag_4,Sales_Lag_8,Count_Lag_8,Sales_RollMean_2,Sales_RollStd_2,Sales_RollMean_3,Sales_RollStd_3,Sales_RollMean_4,Sales_RollStd_4,Sales_ExpandMean,Sales_ExpandStd,Q1,Q2,Q3,Q4,QoQ_Growth,YoY_Growth,Sales_Momentum_2Q,Sales_Momentum_4Q,Avg_Loan_Change
2009,1,2221,1275799.0,574.4254840162089,169.6258268485557,200.0,1000.0,2009-03-01,0,2009-Q1,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,
2009,2,6987,5081241.0,727.2421640188923,289.37564908571545,180.0,2500.0,2009-06-01,1,2009-Q2,1275799.0,2221.0,,,,,,,,,,,,,,,1275799.0,,0,1,0,0,2.982791176353015,,,,0.2660339491455628
2009,3,9588,6464408.0,674.2186065915728,252.05148762661435,150.0,2500.0,2009-09-01,2,2009-Q3,5081241.0,6987.0,1275799.0,2221.0,,,,,,,3178520.0,2690853.8436120977,,,,,3178520.0,2690853.8436120977,0,0,1,0,0.27221046984388253,,5188609.0,,-0.07291045548610686
2009,4,9065,6372633.0,702.9931605074462,313.0476845108037,180.0,2500.0,2009-12-01,3,2009-Q4,6464408.0,9588.0,5081241.0,6987.0,1275799.0,2221.0,,,,,5772824.5,978046.7652134533,4273816.0,2686888.011564494,,,4273816.0,2686888.011564494,0,0,0,1,-0.014196969003194115,,1291392.0,,0.042678374097890215
2010,1,13755,12576690.01,914.3358785896038,482.44967113618515,0.01,5000.0,2010-03-01,4,2010-Q1,6372633.0,9065.0,6464408.0,9588.0,5081241.0,6987.0,1275799.0,2221.0,,,6418520.5,64894.7248433954,5972760.666666667,773441.1093912278,4798520.25,2431906.589008903,4798520.25,2431906.589008903,1,0,0,0,0.9735468855651972,8.857892983142328,6112282.01,11300891.01,0.3006326803088706
2010,2,20167,22974582.0,1139.2166410472555,565.3494143046843,150.0,3750.0,2010-06-01,5,2010-Q2,12576690.01,13755.0,6372633.0,9065.0,6464408.0,9588.0,5081241.0,6987.0,,,9474661.504999999,4386930.782638936,8471243.67,3555716.93201537,7623743.0024999995,3361811.7326920084,6354154.202,4066400.399164398,0,1,0,0,0.8267590265588489,3.5214509605035467,16601949.0,17893341.0,0.2459498393572157
2010,3,19195,26439661.0,1377.4243813493097,678.2452346780816,200.0,6250.0,2010-09-01,6,2010-Q3,22974582.0,20167.0,12576690.01,13755.0,6372633.0,9065.0,6464408.0,9588.0,,,17775636.005,7352419.936174287,13974635.003333332,8388794.031500567,12097078.2525,7811238.972085393,9124225.501666667,7698588.169039915,0,0,1,0,0.15082228699525424,3.0900359321379467,13862970.99,19975253.0,0.20909784119996289
2010,4,21363,31523323.01,1475.6037546224782,806.2036663968826,0.01,14923.0,2010-12-01,7,2010-Q4,26439661.0,19195.0,22974582.0,20167.0,12576690.01,13755.0,6372633.0,9065.0,,,24707121.5,2450180.85824711,20663644.336666666,7214625.134423462,17090891.502499998,9260604.469634816,11597859.144285712,9603242.175554318,0,0,0,1,0.19227409950528496,3.9466716520471214,8548741.010000002,25150690.01,0.07127750503224939
2011,1,21094,30122082.0,1427.9928889731677,823.6195843291847,200.0,5000.0,2011-03-01,8,2011-Q1,31523323.01,21363.0,26439661.0,19195.0,22974582.0,20167.0,12576690.01,13755.0,1275799.0,2221.0,28981492.005000003,3594691.8805314405,26979188.67,4299832.647212633,23378564.005,8011472.967491641,14088542.1275,11343529.673499662,1,0,0,0,-0.044450929540502226,1.3950723104449008,3682421.0,17545391.990000002,-0.03226534596443287
2011,2,32707,49075758.03,1500.4665065582292,798.0031827891511,0.01,6250.0,2011-06-01,9,2011-Q2,30122082.0,21094.0,31523323.01,21363.0,26439661.0,19195.0,22974582.0,20167.0,5081241.0,6987.0,30822702.505000003,990827.0202476991,29361688.67,2625748.1543763075,27764912.002499998,3846446.648136894,15870046.55777778,11880868.216917718,0,1,0,0,0.62922861806166,1.1360892672606622,17552435.02,26101176.03,0.05075208577346291
2011,3,34358,54391293.03,1583.0750634495605,799.0681381152128,0.01,8154.0,2011-09-01,10,2011-Q3,49075758.03,32707.0,30122082.0,21094.0,31523323.01,21363.0,26439661.0,19195.0,6464408.0,9588.0,39598920.015,13402272.849225922,36907054.34666667,10561670.374121888,34290206.01,10087492.33438106,19190617.705000002,15353601.038485866,0,0,1,0,0.10831284555504195,1.0571857192117555,24269211.03,27951632.03,0.05505524883778912
2011,4,34377,60265310.83,1753.0706818512376,907.5690464596477,0.01,10000.0,2011-12-01,11,2011-Q4,54391293.03,34358.0,49075758.03,32707.0,30122082.0,21094.0,31523323.01,21363.0,6372633.0,9065.0,51733525.53,3758650.8441344323,44529711.02,12757294.327854777,41278114.0175,12279681.238195019,22390679.098181818,18022321.728499778,0,0,0,1,0.1079955535670043,0.9117689721633186,11189552.799999997,28741987.819999997,0.10738316983608631
2012,1,28124,50689655.12,1802.3629327264969,922.9319350155166,0.01,10000.0,2012-03-01,12,2012-Q1,60265310.83,34377.0,54391293.03,34358.0,49075758.03,32707.0,30122082.0,21094.0,12576690.01,13755.0,57328301.93,4153557.8191904807,54577453.96333333,5597098.791858274,48463610.9725,13053785.442932975,25546898.409166664,20367058.719251882,1,0,0,0,-0.15889166716507253,0.682807155229177,-3701637.910000004,20567573.119999997,0.028117663129935355
2012,2,38336,72829279.03,1899.7620782032554,976.4823418780031,0.01,15000.0,2012-06-01,13,2012-Q2,50689655.12,28124.0,60265310.83,34377.0,54391293.03,34358.0,49075758.03,32707.0,22974582.0,20167.0,55477482.974999994,6771011.086848681,55115419.66,4828722.926542796,53605504.2525,4966261.660991835,27480956.617692307,20709334.750353925,0,1,0,0,0.4367680911931209,0.48401740397936344,12563968.200000003,23753521.0,0.05403969628326721
